review_name,review_name_url,review_short_review,review_short_review_url,review_place_and_date,review_full_review,review_rating,review_rating_url
Michelle Jimenez,https://www.amazon.com/gp/profile/amzn1.account.AEK5PIEOXSQRYQTR2PORNRKERMKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great product and perfect size!,https://www.amazon.com/gp/customer-reviews/R31S4YINIFEAZC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on September 19, 2022","I needed a glue gun for small projects for my sister’s baby shower and it worked so well! I like that it’s small and compact, and it just got the job done!",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R31S4YINIFEAZC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Oqulis,https://www.amazon.com/gp/profile/amzn1.account.AGJD2XEQ342NURM7FNQ5ZFNKKEWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Not a bad little glue gun, for the price!",https://www.amazon.com/gp/customer-reviews/RA5MG9SO7ZLNF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 22, 2022","Bought this to secure the carved polystyrene I was using as a landscaping base for my leopard gecko terrarium. I’m far from a craft expert, but it worked pretty well, especially considering how cheap it was. It took a few minutes to heat up but it was smooth sailing from there! I found that, for long straight lines, it works best if you pump the trigger every couple inches and go backwards a little before continuing forwards - kind of like the rim of a cake? It’s hard to explain but once you figure it out it’s a neat little doodad. It does guzzle the glue sticks like crazy, but that might be a thing with every glue gun this size. Shows how much I use this stuff, haha.",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RA5MG9SO7ZLNF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Desireé Miller,https://www.amazon.com/gp/profile/amzn1.account.AGS7B7S5YL42YNE5QV6E276EEDTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Amazing,https://www.amazon.com/gp/customer-reviews/RYVJZ5349DEEW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on September 2, 2022",Don’t let the size fool you this glue gun works so good! One thing I did like is that it gets hot really fast. I even burnt myself while using it lol.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RYVJZ5349DEEW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Ms. “C”,https://www.amazon.com/gp/profile/amzn1.account.AEIQK4GEOPW2LOBQDWAGFVX6S5OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Solve the artwork needs,https://www.amazon.com/gp/customer-reviews/RVAI4HX3LD9M4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on September 16, 2022","Tiny to keep, easy to hide away and very useful",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RVAI4HX3LD9M4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
JPC,https://www.amazon.com/gp/profile/amzn1.account.AEDDPTWZRIDQQKVZER2NORDMRCOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good for small crafts and projects,https://www.amazon.com/gp/customer-reviews/RGJA0N57WIWQM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 20, 2022","This is good for small crafts and projects. Nozzle temperature does get hot enough to burn so be careful, but not as hot as a big glue gun. I haven't had it burn glue onto the nozzle or anything. The included glue sticks are alright and the adhesive is not super aggressive but would be fine for most craft sized projects that don't need to support a lot of weight. Works good as a temporary adhesive for 3D printed PLA parts, it doesn't really hang on well unless you include keys in your model for the glue to lock into.",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RGJA0N57WIWQM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
butterflycomb,https://www.amazon.com/gp/profile/amzn1.account.AHWYZEDZCKCL2TRLXQS5EUGDLFOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great product!,https://www.amazon.com/gp/customer-reviews/R22AB3X268AIB8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on August 19, 2022",I really love it! Very easy to use! Fits comfortably in my hand very cute little glue gun set.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R22AB3X268AIB8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Alenny,https://www.amazon.com/gp/profile/amzn1.account.AFWU2JMLKCQ7L3GXPUZT36OJVJGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Just buy it!,https://www.amazon.com/gp/customer-reviews/R30SEUMKRJ9FAO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on August 18, 2022","For the price tag!!!! Please buy it, it heats up well, gets the job done.",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R30SEUMKRJ9FAO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Dr. Ken Rich,https://www.amazon.com/gp/profile/amzn1.account.AHMVJTATG4BTKQXPAQ2XZ27WWN3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"A CRAFTER's glue gun, not a commercial one.",https://www.amazon.com/gp/customer-reviews/R22FTSSCYLWXEM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 8, 2022","First, I like this product. I just want buyers to be clear. This is a small crafter's hot glue gun.
I've had a high temperature commercial type gun for many year that finally died. I'm too old to do a lot of stuff I used to do and don't need that grade of glue gun now. This is a small unit. It fit's in the palm of my hand. It's simple, works easily, heats up fast and flows nicely. Just don't expect it to fix furniture, heavy things, or those under mechanical stress. This is a crafter's glue gun. It is plastic so I won't expect the durability to last as long as my previous one.
Also, the glue sticks are smaller than those I still have laying around, but again, I don't expect to use it a lot any more.",4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R22FTSSCYLWXEM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
David Nance,https://www.amazon.com/gp/profile/amzn1.account.AESPUXQKS6MT4TY2KPJJLLM2IREA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Ok,https://www.amazon.com/gp/customer-reviews/R8K98VAI4C90C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on August 24, 2022",All good,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R8K98VAI4C90C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Karen,https://www.amazon.com/gp/profile/amzn1.account.AEH2PESH3N7GBQ6CWX4TCDG5VFBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Little but mighty,https://www.amazon.com/gp/customer-reviews/R13H7974G6ZGOE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on August 15, 2022",It’s small and easy to use; Heats up quick.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R13H7974G6ZGOE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
